A,B,result,weight,backwardweight,SUM,Diff,Normalized_weight,Normalized_backward_weight,Weight_greater_than_mean,Backward_weight_greater_than_mean
Classical mechanics,Astronomia nova,0,41.6403397027601,16.3047540983607,57.9450938011207,25.3355856043994,0.000537534053869051,0.000653051076331983,0,0
Classical mechanics,Complex number,0,57.7368506493507,5.67185496794872,63.4087056172994,54.4407735493673,5.18132061535237E-05,0.000223573909651788,0,0
Classical mechanics,Cornell University,0,0.65,0.65,1.3,0,1.07098743641115E-07,1.59909676454342E-07,0,0
Classical mechanics,Degrees of freedom (physics and chemistry),0,243.219966747486,94.1052657539989,337.325232501485,191.959532747984,0.00100564964558237,0.00632244471859291,1,1
Classical mechanics,Gas,0,19.6071428571429,16.0590306122449,35.6661734693878,17.151887755102,4.1296601501765E-05,0.000445036748367508,0,0
Classical mechanics,Irradiance,0,25.5451838064216,5.40051369863015,30.9456975050517,20.1446701077914,0.00020616182748599,0.00101981953084228,0,0
Classical mechanics,Lester Germer,0,38.4285487708168,98.2532779845403,136.681826755357,74.3247292137235,0.000575191396017062,0.000692415266210761,0,1
Classical mechanics,Observer (special relativity),0,57.5182468694097,79.5434426229508,137.061689492361,39.0251957535412,0.000339704235884188,0.0101564351003205,1,1
Classical mechanics,Quantum tunnelling,0,157.53144679452,702.544693525269,860.076140319789,721.986753269252,0.00135524514149177,0.00406888060330372,1,1
Energy,Conjugate variables,0,587.113783178278,137.491673770958,724.605456949235,567.684961945596,0.000280202378097813,0.00267432464316262,1,0
Energy,Light,0,290.650094624165,513.061188064324,803.711282688488,226.790823169889,0.00186688781375678,0.00469075551885446,1,1
Energy,Lorentz scalar,0,135.46739984787,139.322735297363,274.790135145233,87.7601492609822,0.000258196650499409,0.00300143985290517,1,1
Energy,Meteorology,0,121.095380198634,20.1127241179873,141.208104316622,100.982656080647,0.00113562177494529,0.0014201349889486,1,0
Energy,Organelle,0,32.25,6.33685064935064,38.5868506493507,25.9131493506494,6.73667985130583E-05,0.000102772065096686,0,0
Energy,Rudolf Clausius,0,124.408207755012,91.1971362072453,215.605343962258,37.8901297284159,0.000187277955196287,0.00480442305569578,1,1
Energy,Thomas Young (scientist),0,592.691176470588,107.560124364048,700.251300834636,664.368947893459,0.000278710141292847,0.00128103460154622,1,1
Energy,Water,1,67.417851458886,98.1383449409765,165.556196399863,101.929406347809,0.00183624545703939,0.000312373216077635,0,0
Euler's laws of motion,Center of mass,0,58.2334904184999,677.479951388889,735.713441807389,630.458068181015,0.00200322913750833,0.00513125401870058,1,1
Euler's laws of motion,Continuum mechanics,1,57.3698793103448,78.1849301397206,135.554809450065,29.4137174960424,0.000643209428043579,0.00219521165293115,0,1
Euler's laws of motion,Moment (physics),0,17.2361175115207,18.6461155378486,35.8822330493694,1.40999802632787,0.000470916881515908,0.00103811083332695,0,0
Euler's laws of motion,Newton's laws of motion,1,348.306593835349,1853.30542052719,2201.61201436253,1803.47736378435,0.0086943158699357,0.00674928857110659,1,1
Euler's laws of motion,Torque,1,59.0085317460318,25.3906081081081,84.3991398541398,44.3820763620764,0.000927941889476195,0.00067209384701352,1,0
Force,Circular symmetry,0,8.53181818181818,6.40357142857145,14.9353896103896,12.8717532467533,5.05949970601669E-05,0.000346122959553998,0,0
Force,Electromagnetism,0,522.111096491228,83.657441860465,605.768538351693,496.546345369237,0.00161087789960698,0.000398832408519023,1,1
Force,Fermion,0,46.5394736842105,13.0333333333333,59.5728070175439,40.9938596491228,6.82430796192106E-06,3.11667226764291E-05,0,0
Force,Frame of reference,0,264.12375,109.250152439024,373.373902439025,154.873597560976,0.00053887019573445,0.00209697762348186,1,0
Force,Gauge boson,0,247.858695652174,11.1590909090909,259.017786561265,236.699604743083,3.63447184995641E-05,6.4034847477079E-05,1,0
Force,Gradient,0,16.4078947368421,0.653125,17.0610197368421,15.7547697368421,0.000152720913525476,4.15255328381529E-06,0,0
Force,Grand Unified Theory,0,47.8291958041958,107.686837403216,155.516033207412,59.8926218361745,0.000103022400754589,0.000964880350481493,0,1
Force,Gravitational acceleration,0,217.173717948718,94.5330517656499,311.706769714368,122.640666183068,0.00238517524434605,0.00452645354006422,1,1
Force,Henry Cavendish,0,155.443386243386,62.413125,217.856511243386,106.983131613757,0.000171529737913616,0.000474901343714264,0,1
Force,Lepton,0,51.5957393031232,77.6171583850929,129.212897688217,26.0214190819699,0.00016350184591098,0.000758002256301256,0,1
Force,Magnet,0,33.64,10.375,44.015,23.265,4.93279578958605E-06,3.25769804514568E-05,0,0
Force,Newton (unit),0,3203.57750252388,2273.41491835922,5476.9924208831,939.022679157734,0.00469887275660481,0.0165003521690861,1,1
Force,Simple machine,0,260.56012987013,480.2925,740.85262987013,219.73237012987,0.0010495974902053,0.00199869094383783,1,1
Force,Tension (physics),0,426.641963292547,669.539166666666,1096.18112995921,336.721934556915,0.00151931751523283,0.021472171797623,1,1
Force,Theory of impetus,0,333.817803160426,49.9326215022091,383.750424662635,283.885181658217,0.000777996332461571,0.00287780013698214,1,0
Force,Torque,0,1255.03883245467,2293.92402964297,3548.96286209765,1038.8851971883,0.00200890916232945,0.00624689367416612,1,1
Frame of reference,Atomic clock,0,28.3626686656671,7.10355555555556,35.4662242212227,21.2591131101116,0.000838583898643019,0.000185230919436446,1,0
Frame of reference,Cognitive psychology,0,0.89777777777778,0.682142857142855,1.57992063492064,0.215634920634921,1.90202052016495E-05,1.29416016661736E-06,0,0
Frame of reference,Free particle,1,12.3823529411764,13.2708333333333,25.6531862745098,0.888480392156864,1.03052489437444E-05,0.000100543069367878,0,0
Frame of reference,Galilean invariance,0,522.69875,5.58833333333335,528.287083333333,523.289583333333,0.000487077584735996,0.000146522355474683,0,0
Frame of reference,Galilean transformation,0,36.9609423848989,402.17439516129,439.135337546189,367.654832086736,0.000605503865620937,0.00619278239269295,1,1
Frame of reference,Generalized coordinates,0,141.519715447154,13.1681481481481,154.687863595303,135.931766034327,0.000430759289628288,0.000385091781107999,1,0
Frame of reference,Gravitational time dilation,1,46.6532136415806,493.027411218725,539.680624860305,470.059135756189,0.000984358668179367,0.00207373586935861,1,0
Frame of reference,International Celestial Reference Frame,0,257.333487416538,140.737493734336,398.070981150874,125.644266058057,0.000378061490304718,0.000847952780248626,1,0
Frame of reference,Karl Schwarzschild,0,9.67008196721311,14.3753846153846,24.0454665825978,4.7053026481715,0.000152220689113677,3.40177842225976E-05,0,0
Frame of reference,Mach's principle,0,39.298797211369,64.8624082232014,104.16120543457,30.5636110118321,0.000404926197169275,0.00143198044873456,1,1
Frame of reference,Non-inertial reference frame,0,871.32299980721,656.432103825137,1527.75510363235,233.629357520535,0.00232736978325631,0.0110433192174513,1,1
Frame of reference,Quantum field theory,0,24.2066265060241,15.7189328063241,39.9255593123482,14.7123063003,0.000412635077439299,0.000332324690715756,1,0
Frame of reference,Quantum gravity,1,29.8019630484989,28.6354559748427,58.4374190233416,25.6334929263439,0.00203968651720763,0.000417212225397823,1,0
Frame of reference,Representation theory,0,21.3963773314204,14.1797794117647,35.5761567431851,7.95189203730273,0.000377362253534488,5.5588747215165E-05,0,0
Frame of reference,Representation theory of the Galilean group,0,8.23552631578945,7.57055214723925,15.8060784630287,0.66497416855021,0.00058934388295606,0.000342033285326717,0,0
Frame of reference,Robotics,0,2.34342105263158,7.394,9.7374210526316,5.0505789473684,8.3848973921133E-05,9.93737171060095E-05,0,0
Frame of reference,Standard Model,0,26.3739564698867,22.0177280976737,48.3916845675604,21.4391204649963,0.00178315620543928,0.000302348717200004,1,0
Frame of reference,Vacuum,0,11.4369696969697,5.63193277310925,17.068902470079,5.80503692386045,0.000888441317723585,0.00012968258725856,0,0
Galilean invariance,Dialogue Concerning the Two Chief World Systems,0,559.562720392548,54.0226339737108,613.585354366259,528.716809716428,0.00555591346641148,0.00117673887673193,1,1
Galilean invariance,Electromagnetism,0,16.6640350877193,43.3812280701754,60.045263157895,33.6402631578948,0.000441436668258029,0.000175013200613721,0,0
Galilean invariance,Galilean transformation,0,576.530341880342,535.972517394054,1112.5028592744,94.1924650091633,0.0019723815929512,0.00802839756354627,0,0
Galilean invariance,Galileo's ship,0,332.793968253968,49.3457079152731,382.139676169241,334.426135796571,0.00107442334726165,0.000373818819351478,0,0
Galilean invariance,Inertial frame of reference,0,1182.96607142857,87.7105652559929,1270.67663668456,1118.82981492834,0.00377027083327539,0.00089684806567571,1,0
Galilean invariance,Isolated system,1,0.67,3.41545454545455,4.08545454545455,2.74545454545455,2.92782517649979E-06,2.25658873457087E-05,0,0
Galilean invariance,Kinetic energy,1,15.8853318250377,145.003265107212,160.88859693225,133.776653612412,0.000409616957136415,0.000490693080484722,0,0
Galilean invariance,Lorentz covariance,0,249.204858490566,43.4684210526316,292.673279543198,257.318562562066,0.00102707920951102,0.0015633065179721,1,0
Galilean invariance,Lorentz transformation,0,447.778014919188,558.390830875123,1006.16884579431,116.815921817702,0.00190882248320857,0.00215749175298494,1,0
Galilean invariance,Maxwell's equations,0,79.6783660130719,36.3934821428572,116.071848155929,86.3794216853408,0.000477053488562273,0.000220872600338915,1,0
Galilean invariance,Momentum,0,25.3777777777778,212.054486036839,237.432263814617,192.993879976233,0.000378068164356963,0.000762832734241657,0,0
Galilean invariance,Special relativity,0,186.430063795853,1139.26352657005,1325.6935903659,959.047345306613,0.000941172026033863,0.000918767850210261,1,0
Galilean invariance,Superluminal motion,0,262.15,2.9375,265.0875,259.2125,0.000960045143013466,2.17439847810612E-05,1,0
Galilean invariance,Symmetry (physics),0,16.2730272596843,49.6461989795919,65.9192262392763,36.9305497686879,0.00018915153650584,0.000939447640105344,0,0
Galilean invariance,Work (physics),0,5.58833333333335,2.37560975609756,7.9639430894309,3.21272357723577,0.000146522355474683,3.75632771529659E-05,0,0
